ID,TREATMENT,TIME,BACI Docility,SEX
87,CAT,6,3,M
87,CAT,12,3,M
102,CAT,6,1,M
233,CAT,6,2,F
257,CAT,6,2,F
257,CAT,12,4,F
257,CAT,18,4,F
917,CONTROL,6,-1,F
917,CONTROL,12,0,F
917,CONTROL,18,0,F
2256,CAT,12,0,M
2394,CAT,6,-1,F
2394,CAT,12,1,F
2615,CONTROL,6,-1,F
2615,CONTROL,12,0,F
2615,CONTROL,18,0,F
2618,CAT,6,0,F
2618,CAT,18,-1,F
2619,CAT,6,0,F
2619,CAT,12,1,F
2619,CAT,18,2,F
2622,CAT,6,-1,M
2622,CAT,12,2,M
2653,CAT,6,-1,F
2654,CAT,6,0,M
2655,CAT,6,2,F
2655,CAT,12,3,F
2655,CAT,18,4,F
2659,CAT,6,0,M
2659,CAT,12,1,M
2662,CONTROL,6,-1,M
2662,CONTROL,12,1,M
2662,CONTROL,18,1,M
2668,CONTROL,6,2,M
2668,CONTROL,12,3,M
2672,CAT,6,0,F
2695,CAT,18,1,F
2704,CAT,6,0,M
2709,CAT,6,-1,M
2709,CAT,18,-1,M
2715,CAT,6,-1,M
2716,CAT,6,-1,F
2717,CAT,6,0,F
2717,CAT,12,1,F
2768,CAT,12,1,M
2803,CAT,6,-2,F
2804,CAT,12,2,F
2829,CONTROL,6,1,M
2829,CONTROL,12,0,M
2829,CONTROL,18,-1,M
2833,CAT,6,-1,M
2835,CAT,12,0,F
2837,CAT,6,0,M
2844,CAT,18,3,F
2849,CAT,6,-1,M
2849,CAT,12,1,M
2850,CAT,6,0,M
2851,CAT,18,0,M
2852,CAT,6,2,F
2863,CAT,18,2,F
2877,CAT,6,-1,F
2877,CAT,12,0,F
2879,CAT,6,1,M
2888,CAT,6,-1,M
2888,CAT,18,1,M
2889,CAT,6,-2,M
2889,CAT,12,-1,F
2889,CAT,18,-2,F
2897,CAT,6,-2,F
3000,CAT,6,0,M
3000,CAT,12,-1,M
3000,CAT,18,1,M
3002,CAT,6,-1,M
3008,CAT,6,1,M
3011,CONTROL,6,0,F
3011,CONTROL,12,0,F
3016,CAT,12,0,M
3021,CAT,6,0,M
3022,CAT,6,1,M
3024,CAT,6,1,F
3024,CAT,12,0,F
3027,CAT,6,1,M
3027,CAT,18,1,M
3028,CAT,6,1,M
3033,CAT,6,0,M
3037,CAT,6,0,F
3037,CAT,18,0,F
3042,CAT,6,0,M
3045,CAT,6,-1,F
3045,CAT,12,0,F
3046,CONTROL,6,-1,M
3046,CONTROL,12,0,M
3046,CONTROL,18,0,M
3053,CAT,6,0,M
3063,CAT,6,-1,M
3070,CAT,6,0,F
3077,CAT,12,3,M
3081,CAT,6,-3,F
3081,CAT,12,-2,F
3084,CAT,6,0,M
3084,CAT,12,3,M
3087,CAT,6,2,F
3087,CAT,18,2,F
3093,CAT,6,-1,M
3099,CAT,18,1,F
3267,CONTROL,6,-1,M
3267,CONTROL,12,0,M
3267,CONTROL,18,0,M
3274,CAT,6,-2,M
3274,CAT,18,0,M
3544,CAT,6,-1,M
3544,CAT,12,0,M
4085,CONTROL,6,0,F
4085,CONTROL,12,0,F
4085,CONTROL,18,-1,F
